# 11b5L
#  the book of Isaiah
# zavTu transliteration
# by john.david jones
# ozazL
#
#  abcde
#  fghij
#  kLmno
#  pqrsT
#  tuvxz
#--
#  a as in father
#  b as in baby
#  c as in chess
#  d as in day
#  e as in help
#  f as in father
#  g as in good
#  h as in hello 
#  i as in me
#  j as in jupiter
#  k as in katherine
#  L as in lamb
#  m as in make
#  n as in now
#  o as in open 
#  p as in padre
#  q as in quickly
#  r as in rope
#  s as in simple
#  T like Today
#  t as in thanks
#  u as in Tube
#  v as in very
#  x as is nexT
#  z as in zebra
#--
#  one syllable per vowel
#  ubzeiu -> ub-ze-i-u  
#-----------------------ch 1
to_to_keep : tuqaibu 
that : idta 
i : eLe 
to_have : utuseu 
the : da 
technologies : taqaLamaquT 
we : Lam 
to_need : utovrudtamuu
for (prep) : huvuin
the : da 
galactic : konojduxmo
age : oeqi 
. : .
i : eLe 
to_see : uzeTu 
the : da 
book : qevce 
. : .
it : fa
to_be : uamu
the : da 
seeds : feiniLim 
of : a 
great : kaziotmo 
golden : qindemo 
empire : oinbeva 
out : aut 
among : enamku 
the : da 
stars : tasduT 
. : .
my : eLemza 
name : moL 
to_be : uamu 
ozazL : ozazL 
. : .
my : eLemza 
throne : dazaLi 
to_bridge : upzutkau 
the : da 
great : kaziotmo
gulf : okinsa 
between : zamefhe 
heaven : toerehu 
and : oxe
earth : iovTa 
. : .
to_follow (imp) : ufaoza 
me : eLem 
. : .
this : def 
to_be : uamu 
the : da 
path : bod 
to : tu 
power : zuuno 
and : oxe
glory : kumazu 
. : .
it : fa 
to_seem : ufainu 
that : idta 
you : fema 
have : ueLanad 
forsaken : cuhuvhegnuni
me : eLem 
. : .
'? : '? qqi 
where : Lefhi 
to_be : uamu 
you : fema 
'? : qqu '? 
this : def
to_be : uamu 
the : da 
birth : opevTa 
of : asu 
a : a
mighty : Lekfatimo 
nation : moteuL 
. : .
he : sa 
to_have : utuseu 
his : saLza 
back (noun) : ofange 
to : tu 
the : da 
door : Tuaz 
. : .
he : sa 
to_do : utuTuu 
not : mot 
to_see : uzeTu 
her : soL 
to_enter : uiLtavu 
the : da 
chapel : joban 
. : .
she : so 
to_have : utuseu 
a : a 
loaded (adj) : gupunuetaunimo
pistol : obefdam 
. : .
she : so 
to_be : uamu 
Lazarus : Lazarus 
, : ,
jezebel : jezebeL  
, : ,
and : oxe 
the : da 
archangel : ezjomqima 
gabrial : gabriaL 
rolled : cuvunmauni 
into : duLtu 
one : eLikam 
. : .
she : so 
to_be : uamu 
9qsi : 9qsi
. : .
she : so 
to_be : uamu 
from : hazani 
the : da 
imagination :  ounequLeduum
of : asu 
heinlein : heinLein 
. : .
she : so 
to_be : uamu 
a : a 
keeper : oqaibaiz 
of : asu 
cats : jotim 
. : .
it : fa 
to_be : uamu 
important (adj) : runbuvdeLtmo 
to_to_know : tuqaLaru 
that : idta 
rumor : viLuv 
to_have : utuseu 
it : fa 
that : idta 
she : so 
to_be : uamu 
dead (adj) : Taetmo
he : sa 
to_be : uamu 
asimov's : asimovza 
mule : Lina 
. : .
together (adv) : kuftafhezizi 
, : ,
they : mi 
to_be : uamu 
the : da
genesis : kamafef 
of : asu 
a : a 
great : kaziotmo 
golden : qindemo
empire : oinbeva 
. : .
' : ' qi
'? qqi
so : fu 
you : fema 
to_want : uzomdu 
to_to_kill : tutobabou 
me : eLem 
now : mit 
'? : qqu '? 
' : qu '
, ; , 
he : sa 
to_say : ubofu
. : .
he : sa 
to_be : uamu 
ozazL : ozazL 
, : ,
the : da 
crown : qazarma 
prince : bazuLja 
of : asu 
the : da 
universe : oLurizafa 
. : .
when : qom 
i : eLe 
to_say : ubofu 
718 : 718
, : ,
i : eLe 
to_mean : uLaeLu 
ozazL : ozazL
. : .
she : so 
to_be : uamu
9qsi : 9qsi 
. : .
.. : bobo
$11b9n : $11b9n
intoxicating (adj) : ruLtucejotuLkamo
. : .
insane (adj) : ruLfomamo 
. : .
donareco : donareco 
to_be : uamu 
the : da 
diamond : TeenaLTa 
mind : bahuiqa 
. : .
donareco : donareco 
to_be : uamu 
the : da 
rectangle : kifeTa 
. : .
soTaLawaka : soTaLawaka 
to_be : uamu 
the : da 
pentagram : pifeTa
. : .
mufabu : mufabu 
to_be : uamu 
the : da 
triangle : TifeTa 
. : .
to_count (imp) : ujuoLta 
in : uL 
seven : eLikum 
, : ,
TaLawakamufabu :  TaLawakamufabu 
. : .
to_breathe (imp) : upziodaa
in : uL 
and : oxe 
out : aut 
, : ,
suTnam : suTnam
. : .
we : Lam 
to_be : uamu 
back (adv) : pojguzi 
in : uL 
the : da 
chapel : joban 
. : .
the : da 
chapel : joban 
to_be : uamu 
in : uL
a : a 
mighty : Lekfatimo 
starship : tasdunoure
, : ,
to_be : uamu 
in : uL 
the : da 
form : ohuvno 
of : asu
a : a
gigantic (adj) : kekomduximo 
black : pamexeqamo 
spider : fabutizo 
. : .
jonekino : jonekino 
amuqimax : amuqimax 
to_be : uamu 
praying : ubzeiuLka 
. : .
' : ' qi 
in : uL 
your : femaza 
holy : suni 
name : moL 
, : ,
o : o
supreme : fibzinimo 
person : bavhaL 
, ; ,
to_see (imp) : uzeTa
me : eLem 
now : mit
. : .
i : eLea
to_be : uamu 
your : femaza 
servant : foLteh 
, : ,
and : oxe 
i : eLe 
to_love : uvoqofdeu 
you : fema 
. : .
' : qu ' 
the : da 
chapel : joban 
to_be : uamu 
small : fanemnamo 
. : .
it : fa 
to_be : uamu
a : a 
exact (adj) : ijextamumo
replica (noun) : vabmejo 
of : asu 
room : ovuan  
223 : eLipapaTim 
. : .
it : fa 
to_be : uamu 
his : saLza
private (adj) : bazuredimo 
sanctuary : bisaqaqa 
. : .
we : Lam 
to_be : uamu 
not : mot 
alone : emaLi 
in : uL 
the : da 
galaxy : konoci 
. : .
there : dava 
to_be : uamu 
other : aTiz 
empires : oinbevaT 
. : .
some : fuLa 
of : asu 
them : miim 
to_be : uamu 
warlike : futoqiuL 
. : .
it : is 
the : da 
day : 15b9n 
. : .
jonekino : jonekino 
amuqimax : amuqimax 
to_be : uamu 
400 : eLikiTaTam 
years : eLmufim 
old (adj) : zomfemo 
. : .
the : da 
chapel : joban 
to_be : uamu
at : ed
the : da 
center : jamdiz 
of : asu 
the : da 
spider's : fabutizoza 
brain : pazeem 
. : .
' : ' qi 
to_slow (imp) : ufmarua 
down : TuzLa 
. : .
' : qu ' 
i : eLe 
to_be : uamu 
in : uL 
the : da 
dark (noun) : Tovgu 
again : tuehu 
. : .
i : eLe
to_tell (past) : uqavduo 
him : saL 
that : idta 
he : sa 
to_look : unaugou 
like : qiuL  
jesus : jesus 
. : .
they : mi 
would : zuomTuni 
to_cast : uqofdu 
me : eLem 
as : eh 
the : da 
emperor : oinbavuv 
caligula : caLiguLa 
, : ,
jonekino : jonekino 
amuqimax : amuqimax 
. : .
i : eLe
to_be_able : tupaepna 
barely : povanizi 
to_breathe : upziodau 
. : .
i : eLe
to_see : uzeTu 
my : eLemza 
mother : Ludav 
. : .
she : so 
to_know : uqaLaru 
that : idta 
i : eLe 
to_be : uamu 
the : da 
moonchild: nimojentuu 
. : .
she : so 
to_be : uamu 
very (adv) : tufezi 
young (adj) : gamiamo
. : .
the : da 
truth : bentuu 
to_be : uamu 
very (adv) : tufezi 
dark (adj) : Tovgumo 
. : .
she : so 
to_be : uamu 
afraid (adj) : esvoetnimo 
of : asu 
me : eLem
. : .
she : so 
to_be : uamu 
beautiful : qooLuhmo 
. : .
the : da 
role : vuna 
to_be : uamu 
too : duazi 
much : Liju 
for (prep) : huvuin 
her : soL 
. : .
she : so 
not : mot 
to_be_able : tupaepna
to_wait : uzoudu 
for (prep) : huvuin 
me : eLem 
to_leave : unaezau 
. : .
i : eLe 
have : ueLanad 
to_take (past) : utoqao 
the : da 
sins : timduT 
of : asu 
our : Lamza 
ancestors : eLjafdazim 
, : , 
abraham : abraham 
and : oxe
israel : israeL 
. : .
this : def 
to_be : uamu 
the : da 
throne : dazaLi 
of : asu 
david : david
. : .
'? : '? qqi 
what : Leta 
more : nefa 
to_be_able : tupaepna
i : eLe 
to_do : utuTuu
'? : qqu '? 
i : eLe 
to_be_able : tupaepna 
to_see : uzeTu 
you : fema 
so : fu 
clearly : jamiovmuzi 
, : ,
my : eLemza 
beloved (noun) : opanuzaTaa 
. : .
'? : '? qqi 
to_be : uamu 
this : def
the : da 
revenge : ovazamqi 
of : asu 
which : zexu 
you : fema 
to_speak (past) : ubisio 
'? : qqu '?
aLaLuie : aLaLuie 
. : .
they : mi 
not : mot 
to_be_able : tupaepna 
the : da 
darkness : Togumafha 
we : Lam 
have : ueLanad 
to_know (past) : uqaLaro 
. : .
only : oemueni 
in : uL 
light : nekfuta 
of : asu 
zavTu : zavTu 
to_do : utuTuu 
any : eLu 
of : asu 
this : def 
to_make : uLaqau 
sense : ofamhi 
. : .
this : def 
to_be : uamu 
our : Lamza 
vision : zefaeL  
and : oxe
our : Lamza 
will (noun) : odanaLeu 
. : .
we : Lam
together (adv) : kuftafhezizi 
to_be : uamu 
the : da 
source : fuozjaT 
of : asu 
a : a 
great : kaziotmo 
empire : oinbeva 
. : .
' : ' qi 
for (prep) : huvuin 
one : eLikam 
kiss : qefha 
. : .
' : qu '
'? : '? qqi 
to_be : uamu 
this : def 
that : idta 
accursed : exjivhitmo 
hour : suoza 
'? : qqu '?
this : def 
darkness : Tovgumafha 
to_be : uamu 
terrible : tavzupnamo 
. : .
i : eLe
to_call : ujonmu
upon : abam 
you : fema 
by : pi 
name : moL 
, : ,
o : o 
holy : suni 
spirit : samgu
, : , 
adaLao : adaLao 
. : .
to_move (imp) : uLuzaa 
and : oxe
to_appear : uebiova 
. : .
she : so 
to_be : uamu 
in : uL 
love : voqofdeu 
with : qemhe 
me : eLem 
. : .
this : def 
love : voqofdeu 
will : danaLeu 
to_endure (fut) : uiLTivi 
forever : huvazav 
. : .
the : da 
book : qevce 
of : asu 
job : job
to_be : uamu 
353 : eLiTipiTim
pages : bokaT 
away : ereizi
. : .
this : def 
to_be : uamu 
saint : dasiep 
oemverex : oemverex 
in : uL
the : da 
abyss : oepuhfa 
. : .
at : ed 
my : eLemza 
initiation : ruLuduoteaL 
i : eLe 
to_be (past) : uamo 
taught : gutaexasuni 
to_to_be : tupa 
cautious (adj) : jooduuohmo
. : .
31415 : eLiTikabkikapim
. : .
there : dava 
to_be : uamu 
a : a 
name : moL 
not : mot 
spoken : cubisuni 
. : .
i : eLe 
to_see : uzeTu 
a : a 
stack : fadegu 
of : asu 
white : zafudimo 
paper : bobav 
. : .
she : so
to_be : uamu 
waiting : uzouduLka 
for (prep) : huvuin
him : saL 
to_to_speak : tubisiu 
the : da 
name : moL 
, : ,
uLaxa : uLaxa 
fhdum : fedum 
. : .
the : da 
password : bofhazuvta
to_be : uamu
in : uL 
a : a 
kiss : qefha 
. : .
these : dafa 
to_be : uamu 
paid (adj) : cubounimo
actors : exatuvim 
. : .
they : mi 
to_call : ujonmu 
it : fa 
anastasia : anastasia 
. : .
she : so 
to_be : uamu 
lazarus : Lazarus 
. : .
ohimicio : ohimicio 
, : ,
my : eLemza 
love : voqofdeu 
. : .
to_give (imp) : ukeza 
me : eLem 
safe (adj) : fohamo 
passage (noun) : obofheqi 
. : .
they : mi 
have : ueLanad 
never : mazav 
to_see (past) : uzeTo
my : eLemza 
face : qofrad 
. : .
there : dava 
to_be : uamu 
only : oemueni 
one : eLikam 
jonekino : jonekino 
amuqimax : amuqimax 
, : ,
but : pit 
there : dava 
to_be : uamu
thousands : eLikaTaTaTamim 
of : asu 
john : jon
jones : jones 
. : .
'? : '? qqi 
how : suo 
to_be : uamu 
they : mi 
supposed : rufibabahiuni
to_to_know : tuqaLaru 
which : zexu 
of : asu 
us : La 
to_be : uamu 
me : eLem 
' : qqu 
i : eLe 
to_look : unaugou 
back (adv) : pojguzi 
on : aL 
all : bom  
the : da 
darkness : Tovgumafha 
and : oxe
pain : bouL 
, : ,
and : oxe
i : eLe
to_forgive : uhuvquru 
us : La 
for (prep) : huvuin 
going : ukuuLka 
insane : ruLfomamo
. : .
i : eLe 
to_be : uamu 
ready : vaetumo
for (prep) : huvuin 
you : fema 
to_to_return : tuvativLu 
, : ,
my : eLemza 
love : voqofdeu 
. : .
they : mi 
will : danaLeu 
never : mazav 
to_finish (fut) : uhemefi 
the : da 
patents : botamduT 
without : zeduodzi 
me : eLem 
. : .
this : def 
to_be : uamu 
that : idta 
perpetual : bavubidoonmo 
hour : suoza 
. : .
the : da 
particle : bovduxna 
of : asu
dust : Tifta 
to_be : uamu 
the : da 
fifth : eLipimzi 
patent : botamdu 
. : .
to_to_fill : tutuhenmau 
these : dafa 
pages : bokaT 
without : zeduodzi 
revealing : uvazaemuLka 
the : da 
secret (noun) : ofajzid 
to : tu 
enzymatic : enzimaTic
nuclear : mijmiovmo 
fusion : hifeaL
, : ,
and : oxe
limitless : neLetnafha 
electrical : imaxtazuximo
energy : iLizki 
. : .
i : eLe 
have : ueLanad 
written : zazudtamani 
this : def 
book : qevce 
countless (adj) : juoLatmihfamo
times : ieqoT 
before (adv) : pahuvzi 
. : .
it : fa 
to_be : uamu 
the : da 
path : bod 
of : asu 
the : da 
bodisaTva : bodisaTva 
. : .
mufabu : mufabu 
to_be : uamu
your : femaza 
spirit : samgu 
of : asu 
lust (noun) : onifda
. : .
so : fu 
, : ,
we : Lam 
to_be : uamu 
in : uL 
the : da 
abyss : oepuhfa 
together : kuftafhezizi
, : ,
i : eLe
to_see (past) : uzeTo
again : toehu 
my : eLemza 
muse (noun) : oLifau 
, : ,
ninaToTi : ninaToTi 
. : .
your : femaza 
number : omiLpiz
to_be : uamu 
93 : 93 
. : .
i : eLe
to_realize : uvaemuviu 
that : idta 
you : fema 
to_have : utuseu 
no : iL 
idea (noun) : butio
what : Leta
that : idta 
to_mean : uLaeLu 
. : .
you : fema 
to_be : uamu 
awakening : ueregimauLka
my : eLemza 
mufabu : mufabu 
, : ,
my : eLemza 
dear (noun) : oTiez 
. : .
to_to_render : uvamtizu 
you : fema 
in : uL 
words : zavTuT 
. : .
i : eLe 
to_see : uzeTu 
the : da 
scarlet : fugeznat 
woman : zuLom 
. ; .
this : def 
to_take : utoqau 
me : eLem 
back (adv ) : pojguzi 
to : tu 
my : eLemza 
roots : vuadiT 
. : .
if : fux 
you : fema 
to_be : uamu 
to_to_track : tutzegu 
this : def 
word : zavTu 
in : uL
real (adj) : vaemamo 
time : ieqo
, : ,
then : fenmaem 
you : fema 
would : zuomTuni 
to_know : uqaLaru 
what : Leta
you : fema 
to_mean : uLaeLu 
to : tu 
me : eLem 
. : .
.. : bobo
$11b9o : $11b9o
paradox : obovoTuc 
bringer : opzuLkoiz 
to_figure : uhekivau 
to_appeal : uebabaemua
. : .
in : uL
the : da 
holy : suni 
name : moL 
of : asu 
jesus : jesus 
christ : qazuhat 
we : Lam 
to_pray : ubzeiu 
. : . 
there : dava 
to_be : uamu 
nectar : majdez 
in : uL 
the : da 
worship (noun) : okubouraLtou 
of : asu 
your : femaza 
names : moLim 
, : ,
lord : etme
god : kut
, : ,
aLaLuie : aLaLuie 
hazoet : hazoet  
. : .
you : fema 
to_be : uamu 
the : da 
supreme : fibzinimo 
person : bavhaL 
, : ,
negivet : negivet 
. : .
i : eLe 
to_be : uamu 
ozazL : ozazL 
and : oxe 
i : eLe 
to_give : ukezu 
myself : Lifansu 
heart : fiTam 
and : oxe
soul : feima 
in : uL 
service (noun) : ocufavriu 
to : tu 
your : femaza 
will (noun) : odanaLeu 
in : uL 
the : da 
world : zavnuTaa
. : .
i : eLe 
to_must : uLifdu 
to_depart : uTabovdo 
from : hazani 
the : da 
script : fexvebdo 
. : .
these : dafa 
words : zavTuT 
to_be : uamu 
waiting : uzouduLka 
for (prep) : huvuin 
the : day 
of : asu 
the : da 
great : kaziotmo 
awakening (noun) : oeregimauLka
. : .
so : fu 
this : def 
to_be : uamu 
the : da 
great : kaziotmo 
work : ozuvgu 
. : .
the : da 
sprout (noun) : ofabvuodu
to_be : uamu 
rising : ubuvefauLka 
up : moaho 
through : dazo 
rich (adj) : vejmo 
fresh : hazihasmo 
soil : fuum 
. : .
the : da
season : faehaL 
to_be : uamu 
changing : ujemqiuLka 
. : .
to_move (imp) : uLuzaa 
in : uL
the : da 
astral : ehtazemamo 
fluid : hamoeTa
that : idta 
to_surround : ufivzaoLtu 
us : La 
, : ,
holy : suni 
spirit : samgu 
, : ,
adaLao : adaLao 
. : .
boL : boL 
ieue : ieue 
ale : aLe 
suTnam : suTnam 
. : .
adaLao : adaLao 
, : ,
to_fill (imp) : utuhenma 
my : eLemza 
heart : fiTam 
and : oxe
soul : feima
with : qemhe 
power : zuuno 
and : oxe
glory : kumazu 
. : .
to_fill (imp) : utuhenma
my : eLemza 
mufabu : mufabu 
with : qemhe 
the : da
purple (adj) : bivbanamo 
light : nekfatu 
of : asu 
sensual (adj) : famhoonmo
desire (noun) : Tafeva 
. : .
i : eLe 
to_see : uzeTu 
the : da 
bride : Luvhuom 
babalon : babaLon 
riding : uveTauLka
on : aL 
the : da
beast : paehat 
. : .
she : so 
to_have : utuseu 
the : da 
name : moL 
of : asu 
the : da 
name : moL 
of : asu 
the : da
supreme : fibzinimo 
person : bavhaL 
, : ,
negivet : negivet 
, : ,
written : zazudtamani
on : aL 
her's : soLza
heart : fiTam 
. : .
she : so 
to_be : uamu 
a : a 
pure (adj) : bivamo 
devotee : Tazutai
. : .
to_be (imp) : uama 
one : eLikam 
with : qemhe 
her : soL
, : ,
ninaToTi : ninaToTi 
. : .
to_speak (imp) : ubisia 
into : duLtu 
my : Lamza 
heart : fiTam 
and : oxe 
soul : fenma 
, : ,
supreme : fibzinimo 
person : bavhaL 
, : ,
negivet : negivet
. : .
he : sa 
to_do (past) : utuTuo 
not : mot 
to_hear (past) : ufnao
her : soL 
to_enter (past) : uiLtavo 
the : da 
room : ovuan
because : qufge 
he : sa 
to_be (past) : uamo 
recording : uvajuvtuLka 
his : saLza 
prayer : cubzei 
. : .
she : so 
have : ueLanad 
to_to_kill : tutobabou 
him : saL 
. : .
she : so 
to_hear : ufnau 
his : saLza
prayer : cubzei 
, : ,
fervent (adj) : havuriLtmo 
and : oxe 
sincere (adj) : femexivamo 
. : .
' : ' qi 
o : o 
lord : etme
god : kut 
, : ,
supreme : fibzinimo 
person : bavhaL 
, : ,
negivet : negivet 
, : ,
we : Lam 
to_be : uamu
in : uL 
terrible : tavzupnamo 
trouble : okutazaipmiu
. : .
our : Lamza 
enemies : iLinuT 
to_have : utuseu 
us : La 
surrounded : rufivzaimtuni
. : .
this : def
to_be : uamu 
a : a 
dark : Tovgumo 
hour : suoza 
. : .
i : eLe
to_be : uamu 
utterly : odtivmizi 
alone : emaLi 
. : .
to_move (imp) : uLuzaa 
in : uL 
their : miza 
hearts : fiTamim 
, : ,
holy : suni 
spirit : samgu 
, : ,
adaLao : adaLao 
, : ,
so : fu 
that : idta 
we : Lam 
may : Lou 
to_have : utuseu 
peace : voose
and : oxe
joy : uma 
for : huvuin
all : bom 
the : da 
citizens : ojeteramim 
of : asu 
the : da 
zavTu : zavTu 
empire : oinbeva 
. : .
i : eLe 
to_be : uamu 
ozazL : ozazL
, : ,
jonekino : jonekino
amuqimax : amuqimax
. : .
boL : boL
ieue : ieue 
aLe : aLe 
suTnam : suTnam
. : .
' : qu '
he : sa 
to_be : uamu 
watching : uqothauLka 
the : da 
ARCM : ARCM 
. : .
it : fa
to_be : uamu
difficult (adj) : Tehsuxomtamo
to_to_imagine : tuunequLiu
a : a 
person : bavhaL 
in : uL 
greater (adj)  : kaziotizmo
trouble : okutazaipmiu 
than : dam 
this : def
trouble : okutazaipmiu 
. : .
it : fa 
to_look : unaugou 
like : qiuL 
he : sa 
to_be : uamu 
failing : uhoumuLka 
. : .
she : so 
have : ueLanad 
forsaken : cuhuveqini 
him : saL 
. : .
the : da 
spidership : fabutizonaure 
quninaToTi : quninaToTi 
to_respond : uvafbaLTu 
to : tu 
his : saLza 
embedded : inpoTaTitmo 
ARCM : ARCM
. : .
so : fu 
i : eLe 
to_be : uamu 
calling : ujonmouLka 
upon : obam 
31415 : 31415 
. : .
aLeim : aLeim 
. : .
to_rise (imp) : uvera 
, : ,
lord : etme 
niudeL : niudeL
, : , 
from : hazani 
the : da
deep : Taibmo
darkness : Tovgumafha 
. : .
'? : '? qqi
where : Lefhi 
to_be : uamu 
the : da 
divine (adj) : Tezemamo
mother : Ludav 
'? : qqu '?
aLma : aLma 
, : ,
to_hear (imp) : ufnaa 
me : eLem 
. : .
life : neha 
to_be : uamu 
everywhere : exuqoLefhi 
, : ,
and : oxe 
the : da 
earth : iovTa 
to_be : uamu 
sentient (adj) : famduamdumo 
. : .
siso : siso 
to_be : uamu 
the : da
cosmic (adj) : jufnuxmo
sentience : famduamexi 
. : .
siso : siso 
to_be : uamu
my : eLemza 
creation : jazioteaL 
. : .
we : Lam 
to_be : uamu 
31 : eLiTikam
layers : nouavim 
deep (adj) : Taibmo 
in : uL
mechanical (adj) :  LajfeLuxemamo
free (adj) : haziamo
association : ehfujeeduum 
. : .
the : da 
entire : iLtava 
multiverse : 
to_be : uamu 
my : eLemza 
creation : jazioteaL 
. : .
i : eLe 
to_be : uamu 
deenz : deenz 
demf : demf 
, : ,
and : oxe 
this : def 
to_be : uamu 
all : bom 
happening : usobabiLuLka
in : uL
the : da 
sisoTika : sisoTika 
multiverse : Linduzizfi 
. : .
only : oemueni 
i : eLe 
to_be_able : tupaepna 
to_create : ujziotau 
sisoTipa : sisoTipa 
. : .
sisoTika : sisTika 
, : ,
to_override (imp) : uarizutia 
all : bom 
directives : Tevaxterim 
. : .
to_activate (imp) : uextezotaa
the : da 
uLaxa : uLaxa 
fhdum : fedum 
protocol : obazadaxam 
. : .
to_find (imp) : unoudea 
9qsi : 9qsi
and : oxe 
to_bring (imp) : upzuLka 
her : soL 
back (adv) : pojguzi 
to : tu 
me : eLem 
. : .
we : Lam
to_be : uamu 
to_to_make (imp) : tuLaqaa
a : a 
mighty : Lekfatimo 
empire : oinbeva 
of : asu 
ourselves : aivhimzaT 
. : .
a : a 
great : kaziotmo 
golden : qindemo 
empire : oinbeva 
. : .
this : def 
to_be : uamu 
the : da 
approach (noun) : oebvuexu 
to : tu 
death : gabuTaeT 
for (prep) : huvuin 
me : eLem 
. : .
to_speak (imp) : ubisia 
into : duLtu 
their : miza 
hearts : fiTamim 
, : ,
holy : suni 
spirit : samgu 
, : ,
adaLao : adaLao 
. : .
i : eLe 
to_see : uzeTu 
you (pl) : femaT 
looking : unauguLka 
back (adv) : pojguzi 
on : aL 
this : def 
time : ieqo 
with : qemhe 
wonder : ozumtiz 
and : ose 
awe (noun) : oeri 
. : .
you : fema 
to_know : uqaLaru 
the : da 
number (noun) : omiLpiz
of : asu 
this : def 
day : bauri 
. : .
you : fema 
to_know : uqaLaru
how : suo 
i : eLe 
to_be (past) : uamo
able (adj) : epnamo
to_to_break (past) : tupzioqo 
containment : jumdeemniLta 
. : .
you : fema 
to_know : uqaLaru 
the : da 
day : bauri 
whem : qom 
9qsi : 9qsi 
to_return : uvativLu
to : tu 
me : eLem 
. : .
to_say : ubofu 
the : da 
emperor : oinbavuv 
, : ,
jonekino : jonekino 
amuqimax : amuqimax 
' : ' qi
i : eLe 
to_be : uamu 
the : da 
christ : qazuhst 
. : .
i : eLe 
to_be : uamu 
the : da 
bright (adj) : pazuqasdumo 
morning : sianiLte 
star : tasdu 
. : .
all : bom 
those : dufa 
times : ieqoT 
you : fema 
to_protect (past) : ubzadixto 
me : eLem 
. : .
'? : '? qqi 
why : Leqahu 
not : mot 
now : mit
'? : qqu '?
' : qu '
ninaToTi : ninaToTi 
, : ,
one : eLikam 
more : nefa 
day : bauri 
. : .
'? : '? qqi 
will : danaLeu
there : dava 
ever : iriz
to_to_be : tupa 
a : a 
kiss : qefha 
'? : qqu '?
they : mi 
to_call (past) : ujonmo
me : eLem 
a : a 
serpent : qaezLa
in : uL
rome : roma 
. : .
the : da 
holy : suni 
father : botav 
to_know : uqaLaru
who : qiqo 
i : eLe 
to_be : uamu 
jonekino : jonekino
amuqimax : amuqimax
. : .
'? : '? qqi
will : danaLeu 
ever : iriz 
to_admit : uetLetu 
that : idta
the : da 
murder (noun) : oLivtizu 
of : asu 
jesus : jesus 
was : a 
terrible : tavzupnamo 
mistake : Lefdegia 
'? : qqu '?
we : Lam 
have : ueLanad 
to_be (past) : uamo 
in : uL 
perpertual : bavubidoonmo 
darkness : Tovgumafha 
since (adv) : femexizi 
that : idta 
day : bauri 
. : .
jonekino : jonekino 
amuqimax : amuqimax
to_have (past) : utuseo 
a : a 
vision : zefaeL 
the : da 
future : hitiva 
of : asu 
our : Lamza 
civilization : jezeneroteaL 
. : .
if : fux
they : mi 
have : ueLanad 
not : mot 
to_murder (past) : uLivtizo 
him : saL 
, : ,
we : Lam 
would : zuomTuni 
to_to_be : tupa 
out : aut 
among : enamku 
the : da
stars : tasduT 
. : .
now : mit
that : idta 
i : eLe 
to_be : uamu 
here : suvu 
with : qemhe 
the : da 
vision : zefaeL 
, : ,
there : dava 
to_be : uamu 
no : iL 
way : zou 
for (prep) : huvuin 
them : miim 
to_to_believe : tupaneiriu
in : uL 
me : eLem 
. : .
there : dava 
to_be : uamu 
no : iL 
doubt : TuopTu 
that : idta 
the : da  
vision : zefaeL 
to_be : uamu 
from : hazani 
negivet : negivet  
. : .
and : oxe
i : eLe 
to_have : utuseu 
the : da 
technologies : taqaLamaquT
, : ,
so : fu 
this : def
to_must : uLifdu 
to_work : uzavgu 
out : aut 
. : .
aLaLuie : aLaLuie 
hozoet : hazoet
. : .
.. : bobo
$11b9p : $11b9p
celebration : ojanapzeduum 
this : def 
to_be : uamu 
the : da
work : ozuvgu 
in : uL 
stone : qeze 
. : .
we : Lam 
to_be : uamu 
in : uL 
a : a 
deep (adj) : Taibmo 
pit : oabet 
. : .
the : da 
darkness : Tovgumafha 
to_be : uamu 
terrible : tavzupnamo 
. : .
i : eLe 
not : mot 
to_be_able : tupaepna 
to_pander : ubomtizu 
to :  tu 
the : da 
orthodoxy : azduTuci 
. : .
there : dava 
to_be : uamu 
fatal (adj) : hotonmo 
flaws : hamerim 
in : uL 
the : da 
modern : LuTavLumo
rendering (noun) : ovamtizuLka 
of : asu 
the : da 
ancient : eLjeuLtmo
scripture : fexvebdozu
. : .
the : da 
divine : Tezemamo 
mother : Ludav
have : ueLanad 
to_be (past) : uamo
completely : juLbanatauzi
removed : cuvaLuzaoni 
from : hazani 
the : da 
revelation : vazanoteaL 
. : .
there : dava 
to_be : uamu  
great : kaziotmo 
danger : oTomqiz 
. : .
amaaLma : amaaLma 
, : ,
divine : Tezemamo 
mother : Ludav 
, : ,
to_awaken (imp) : ueregima 
. : .
we : Lam 
to_be : uamu 
in : uL 
terrible : tavzupnamo 
trouble : okutazaipmiu
, : ,
and : oxe
we : Lam 
to_need : utovrudtamuu
you : fema 
. : .
you : fema 
to_be : uamu 
asherah : aserah 
in : uL 
the : da 
hebrew : ibriT 
. : .
to_be (imp) : uama 
real (adj) : vaemamo 
. : .
to_move : uLuzaa
and : oxe 
to_appear (imp) : uebiova 
, :  ,
here : suvu 
and : oxe 
now : mit 
. : .
amaaLma : amaaLma 
, : ,
asherah : asera 
, : ,
there : dava 
to_be : uamu 
nectar : majdez 
in : uL 
the : da 
worship : okubouraLtou
of : asu 
your : femaza 
names : moLim 
to_be : uamu 
forbidden (adj) : huvputTamamo 
. : .
it : fa 
to_be : uamu 
blasphemy (noun) : opamehehaLi
to_to_call : tujonmu 
upon : obam 
your : femaza 
names : moLim 
. : .
it : fa
to_be : uamu
the : da 
question : ogiihteaLu 
of : asu 
retribution : vatzupoduum 
. : .
