# 11b5L
#  the book of Isaiah
# zavTu transliteration
# by john.david jones
# ozazL
#-----------------------ch 1
through : dazo
them : miim
. : .
__: bobo
#---------------------jeremiah ch 3
'? : qqi
if : fux
a : a
man : Laihu
to_divorce : uTezuvexiu
his : saLza
wife : zeha
and : oxe
she : so
to_go : uLamLu
from : hazani
him : saL
and : oxe
to_become : upajuLau
another : tuuLiL
man's : Laihuza
wife : zeha
, : ,
will : danaLeu
he : sa
to_return (fut) : uvativLi
to : to
her : soL
'? : qqu
'? : qqi
would : zuomTuni
not : mot
such (adj) : fijafmo
a : a
land : nomta
to_to_be : tupa
greatly (adv) : kaziotzi
polluted (adj) : Tubunitamo
'? : qqu
you : fema
have : ueLanad
to_play (past) : ubmeio
the : da
whore : zufaz
with : qemhe
many : boncaL
lovers : ovoqofdeizim
. : .
'? : qqi
and : oxe
would : zuomTuni
you : fema
to_return : uvativLu
to : tu
me : eLem
'? : qqu
, : ,
to_say : ubofu
the : da
lord : etme
. : .
to_look (imp) : unaugoa
up : maoho
to : tu
the : da
bare (adj) : povamo
heights : sauqaftaT
, : ,
and : oxe
to_see (imp) : uzeTa
. : .
'? : qqi
where : Lefhi
have : ueLanad
you : fema
not : mot
to_be (past) : uamo
lain : cunouuni
with : qemhe
'? : qqu
by : pi
the : da
waysides : zoufeTaT
you : fema
have : ueLanad
to_sit (past) : ufetao
waiting : uzouduLka
for (prep) : huvuin
lovers : ovoqofdeizim
, : ,
like : qiuL
a : a
nomad : muLoT
in : uL
the : da
wilderness : izenoe
. : .
you : fema
have : ueLanad
to_pollute (past) : ubunmodio
the : da
land : nomta
with : qemhe
your : femmaza
whoring (noun) : ozufazuLka
and : oxe
wickedness : bosiomafha
. : .
therefore : izqu
the : da
showers : ofafarizuT
have : ueLanad
to_be (past) : uamo
withheld : cuzedfamTuni
, : ,
and : oxe
the : da
spring : ofabvemqa
rain : vouL
have : ueLanad
not : mot
to_come (past) : ujuLao
. : .
yet : cuatpu
you : fema
to_have : utuseu
the : da
forehead : huvasaet
of : asu
a : a
whore : zufaz
. : .
you : fema
to_refuse : uvahifu
to_to_be : tupa
ashamed (adj) : rufafenimo 
. : .
'? : qqi
have : ueLanad
you : fema
not :  mot
just (adv) : exifdazi 
now : mit
to_call (past) : ujonmo
to : tu
me : eLem
' : qi
my : eLemza
father : botav
, : ,
you : fema
to_be : uamu
the : da
friend : ohtaza
of : asu
my : eLemza
youth : ruuoTa
. : .
will : danaLeu
you : fema
to_to_be : tupa
angry (adj) : eLkzumo
forever : huvazav
. : .
will : danaLeu
you : fema
to_to_be : tupa
indignant (adj) : guLTekLeLtmo
to : tu
the : da
end : iLTu
' : qu
'? : qqu 
this : def
to_be : uamu
how : suo
you : fema
have : ueLanad
to_speak (past) : ubisio
, : ,
but : pit
you : fema
have : ueLanad
to_do (past) : utuTuo
all : bom
the : da
evil : vuirum
that : idta
you : fema
could : juomTuni
. : .
the : da
lord : etme
to_say (past) : ubofo
to : tu
me : eLem
in : uL 
the : da
days : bauriT
of : asu
king : vacu
josiah : josiah
:
'? : qqi
have : ueLanad
you : fema
to_see (past) : uzeTo
what : Leta
she : so
to_do (past) : utuTuo
, : ,
the : da
faithless : huoTnafhamo
one : eLikam
, : ,
israel : israeL
, : ,
how : suo
she : so
to_go (past) : uLamLo
up : maoho
on : aL
every : exuqo
high : sekfamo 
hill : Laqe
and : oxe
under : oLTavin
every : exuqo
green : kaziamo
tree : bio
, : ,
and : oxe
to_play (past) : ubmeio
the : da
whore : zufaz
there : dava
'? : qqu
and : oxe
i : eLe
to_think (past) : udemgo
' : qi
after (prep) : estazin
she : so
have : ueLanad
to_do (past) : utuTuo
all : bom
this : def
she : so
will : danaLeu
to_return : uvativLu
to : tu
me : eLem
' : qu
, : ,
but : pit
she : so
to_do (past) : utuTuo
not : mot
to_return (past) : uvativLo
, : ,
and : oxe
her's : soLza
false (adj) : honhimo
sister : fefgasaTa
judah : judah
to_see (past) : uzeTo
it : fa
. : .
she : so
to_see (past) : uzeTo
that : idta
for (prep) : huvuin
all : bom
the : da
adulteries : etomtaviT
of : asu
that : idta
faithless : huoTnafhamo
one : eLikam
israel : israeL
, : ,
i : eLe
have : ueLanad
to_send (past) : ufamto
her : soL
away : ereizi
with : qemhe
a : a
decree (noun) : Tajzia
of : asu
divorce : Tezuvexi
. : .
yet : cuatpu
her's : soLza
false (adj) : honhimo
sister : fefgasaTa
judah : judah 
to_do (past) : utuTuo
not : mot
to_fear (past) : ubango
, : ,
but : pit
she : so
also (adv) : emfuzi
to_go (past) : uLamLo
and : oxe
to_play (past) : ubmeio
the : da
whore :  zufaz
. : .
because : qufge
she : so
to_take (past) : utoqao
her's : soLza
whoredom : zufazTuL
so : fu
lightly (adv) : nekfutanizi
, : ,
she : so
to_pollute (past) : ubunmodio
the : da
land : nomta
, : ,
committing :  uquLetuLka
adultery : etomtavi
with : qemhe
stone : qeze
and : oxe
tree : bio
. : .
yet : cuatpu
for (prep) : huvuin
all : bom
this : def
her's : soLza
false : honhimo
sister : fefgasaTa
judah : judah
to_do (past) : utuTuo
not : mot
to_return (past) : uvativLo
to : tu
me : eLem
with  qemhe
her's : soLza
whole (adj) : ququmo
heart : fiTam
, : ,
but : pit
only : oemueni
in : uL
pretense (noun) : obazidiLfa
, : ,
to_say : ubofu
the : da
lord : etme
. : .
then : fenmaem
the : da
lord : etme
to_say (past) : ubofo
to : tu
me : eLem
:
faithless : huoTnafhamo
israel : israeL
have : ueLanad
to_show (past) : umaudeo
herself : soLfansa
less (adv) : nafhazi
guilty (adj) :  kiumtimo
than : dam
false : honhimo
judah : judah
. : .
to_go (imp) : uLamLa
and : oxe
to_proclaim (imp) : ubzaxmouna
these : dafa
words : zavTuT
toward (prep) : tuzovtin
the : da
north : muvTu
and : oxe
to_say (imp) : ubofa
:
to_return (imp) : uvativLa
, : ,
faithless : huoTnafhamo
israel : israe
, : ,
to_say : ubofu
the : da
lord : etme
. : .
i : eLe
will : danaLeu
not : mot
to_look (fut) : unaugoi
on : aL
you : fema
in : uL
anger : eLkav
, : ,
for (conj) : huvupu
i : eLe
to_be : uamu
merciful (adj) : Lavexuhihmo
, : ,
to_say : ubofu
the : da
lord : etme
. : .
i : eLe
will : danaLeu 
not : mot
to_to_be : tupa
angry (adj) : eLkzumo
forever : huvazav
. : .
only : oemueni
to_acknowledge (imp) : uexeqaLarnaTqiu
your : femaza
guilt : kiumti
, : ,
that : idta
you : fema
have : ueLanad
to_rebel (past) : uvapano
against : egeemhutu
the : da
lord : etme
your : femaza
god : kut
, : , 
and : oxe
to_scatter (past): ufugedtavo
your : femaza
favors : ohozuvim
under : oLTavin
every : exuqo
green : kaziamo
tree : bio
, : ,
and : oxe
have : ueLanad
not : mot
to_obey (past) : ueLTzo
my : eLemza
voice : zuuxi
, : ,
to_say : ubofu
the : da
lord : etme
. : .
to_return (imp) : uvativLa
, : ,
o : o
faithless : huoTnafhamo
children  : jentuuT
, : ,
to_say : ubofu
the : da
lord : etme
, : ,
for (conj) : huvupu
i : eLe
to_be : uamu
your : femaza
master : duheLta
. : .
i : eLe
will : danaLeu
to_take (fut) : utoqai
you (pl) : femaT
, : ,
one : eLikam
from : hazani
a : a
city : qoiboLqe
and : oxe
two : eLipam
from : hazani
a : a
family : hoLeni
, : ,
and : oxe
i : eLe
will : danaLeu
to_bring (fut) : upzuLki
you (pl) : femaT
to : tu
zion : zion
. : .
i : eLe
will : danaLeu
to_give (fut) : ukezu
you : fema
shepherds : bunoLnehsavtuT
after (prep): estazin
my : eLemza
own : armu
heart : fitam
, : ,
who : qiqo
will : danaLeu
to_feed (fut) : uhaiti
you : fema
with : qemhe
knowledge : buqaLaru
and : oxe
understanding : opuunLavauLka
. : .
and : oxe
when : qom
you (pl) : femaT
have : ueLanad
to_multiply (past) : uLindubnio
and : oxe
to_increase (past) : uuLjaziofao
in : uL
the : da
land : nomta
, : ,
in : uL
those : dufa
days : bauriT
, : ,
to_say : ubofu
the : da
lord : etme
, : ,
they : mi
shall : ufanmu
no : iL 
longer : numqiziz
to_say (fut) : ubofi
' : qi
the : da
ark : ezqa 
of : asu
the : da
covenant : juzamomda
of : asu
the : da
lord : etme
. : .
' : qu
it : fa
shall : ufanmu
not : mot
to_come (fut) : ujuLai
to : tu
mind (noun) : bahuiqa
or : az
to_to_be : tupa
remembered : cuLiuhtouni
, : ,
or : az
missed : quLefhauni
. : .
nor : muz
shall : ufanmu
another : tuuLiL
one : eLikam
to_to_be : tupa
made : cuLoTani
. : .
at : ed
that : idta
time : ieqo
jerusalem : jerusaLem
shall : ufanmu
to_to_be : tupa
called : pujojnamuni
the : da
throne : dazaLi
of : asu
the : da
lord : etme
, : ,
and : oxe
all : bom
nations : moteuLim
shall : ufanmu
to_gather (fut) : ukodavi
to : tu
it : fa
, : ,
to : tu
the : da
presence : bazihiLja
of : asu
the : da
lord : etme
in : uL
jerusalem : jerusaLem
, : ,
and : oxe
they : mi
shall : ufanmu
no : iL
longer : numqiziz
stubbornly (adv) : fadopapuvLanizi
to_follow (fut) : ufaozi
their : miza
own : armu
evil (adj) : vuirumamo
will (noun) : odanaLeu
. : .
in : uL
those : dufa
days : bauriT
the : da
house : gatonu
of : asu
judah : judah
shall : ufanmu
to_join (fut) : uxueLi
the : da
house : gatonu
of : asu
israel : israeL
, : ,
and : oxe
together (adv) : kuftafhezizi
they : mi
shall : ufanmu
to_come (fut) : ujuLai
from : hazani
the : da
land : nomta
of : asu
the : da
north : muvTu
to : tu
the : da
land : nomta
that : idta
i : eLe
to_give (past) : ukezo
your (pl) : femaTza
ancestors : eLjafdazim
as : eh
a : a 
heritage : savetoka
. : .
i : eLe
to_think (past) : udemgo
how : suo
i : eLe
would : zuomTuni
to_set : ufatu
you : fema
among : enamku
my : eLemza
children : jentuuT
, : ,
and : oxe
to_give : uzeku
you : fema
a : a
pleasant : bomiofomdamo
land : nomta
, : ,
the : da
most : Lufda
beautiful : qooLuhmo
heritage : savetoka
of : asu
all : bom
the : da
nations : moteuLim
. : .
and : oxe
i : eLe
to_think  (past) : udemgo
you : fema
would : zuomTuni
to_call : ujonmu
me : eLem
, : ,
my : eLemza
father : botav
, : ,
and : oxe
would : zuomTuni
not : mot
to_turn : utivLu
from : hazauńi
following : ufaozuLku
me : eLem
. : .
instead : buLfdioTzi
, : ,
as : eh
a : a
faithless : huoTnafhamo
wife : zeha
to_leave : unaezau
her's : soLza
husband : biamuha
, : ,
so : fu
have : ueLanad
you : fema
to_be (past) : uamo
faithless : huoTnafhamo
to : tu
me : eLem
, : ,
o : o
house : gatonu
of : asu
israel : israeL
, : ,
to_say : ubofu
the : da
lord : etme
. : .
a : a
voice : zuuxi
on : aL
the : da
bare : povamo
heights : sauqaftaT
to_be : uamu
heard : cufnauni
, : ,
the : da
plaintive : bameemdurimo
weeping (noun) : ocuzaibuLka
of : asu
israel's : israeLza
chilkdren : jentuuT
because : qufge
they : mi
have  ueLanad
to_pervert (past) : ubavrizato
their : miza
way : zou
. : .
they : mi
have : ueLanad
to_forget (past) : uhuvqido
the : da
lord : etme
their : miza
god : kut
. : .
to_return (imp) : uvativLa
, : ,
o : o
, : ,
faithless : huoTnafhamo
children : jentuuT
. : .
i : eLe
will : danaLeu
to_heal (fut) : usaemi
your : femaza
faithlessness : huoTnafhamafha
. : .
' : qi
here : suvu
we : Lam
to_come : ujuLau
to : tu
you : fema
;
for (conj) : huvupu
you : fema
to_be : uamu
the : da
lord : etme
our : Lamza
god : kut
. : .
truly : entuzi
the : da
hills : LaqeT
to_be : uamu
a : a
delusion : TanifeaL
, : ,
the : da
orgies : azkiT
on : aL
the : da
mountains : ziazuT
. : .
truly : entuzi
in : uL
the : da
lord : etme
our : Lamza
god : kut
to_be : uamu
the : da
salvation : banofdohu
of : asu
israel : israeL
. : .
' : qu
' : qi
but : pit
from : hazani
our : Lamza
youth : ruuoTa
the : da
shameful : ofafenihinmo
thing : dumqa
have  ueLanad
to_devour (past) : uTazuouzo
all : bom
for (prep) : huvuin
which : zexu
our : Lamza
ancestors : eLjafdazim
have : ueLanad
to_labor (past) : unopuvuo
, : ,
their :  miza
flocks : neoneT
and : oxe
their : miza
herds : savtuT
, : ,
their : miza
sons : buugeT
and : oxe
their : miza
daughters : titavim
. : .
to_let (imp) : unata
us : La
to_lay : unouu
down : TuzLa
in : uL
our : Lamza
shame (noun) : ofafenia
, : ,
and : oxe
to_let (imp) : unata
our : Lamza
dishonor (noun) : oTefsumuv
to_cover : ujuzavu
us : La
. : .
for (conj) : huvupu
we : Lam
have : ueLanad
to_sin (past) : utimo
against : egeemhutu
the : da
lord : etme
our : Lamza
god : kut
, : ,
we : Lam
and : oxe
our : Lamza
ancestors : eLjafdazim
, : ,
from : hazani
our : Lamza
youth : ruuoTa
even : iriL
to : tu
this : def
day : bauri
. : .
and : oxe
we : Lam
have : ueLanad
not : mot
to_obey (past) : ueLTzo
the : da
voice : zuuxi
of : asu
the : da
lord : etme
our : Lamza
god : kut
. : .
' : qu
__: bobo
#-------------------------jeremiah ch 4
if : fux
you : fema
to_return : uvativLu
o : o
israel : israeL
, : ,
to_say : ubofu
the : da
lord : etme
, : ,
if : fux
you : fema
to_return : uvativLu
to : tu
me : eLem
, : ,
if : fux
you : fema
to_remove : uvaLuzau
your : femaza
abominations : epanuLeduumim
from : hazani
my : eLemza
presence : bazihiLja
, : ,
and : oxe
to_do : utuTuu
not : mot
to_waver : uzozavu
, : ,
and : oxe
if : fux
you : fema
to_swear : ufriovu
' : qi
as : eh
the : da
lord : etme
to_live : unezu
. : .
' : qu
, : ,
in : uL
truth : bentuu
, : ,
in : uL
justice : exifduxi
, : ,
and : oxe
in : uL
uprightness : ovbekfafmafha
, : ,
then : fenmaem
nations : moteuLim
shall : ufanmu
to_to_be : tupa
blessed : cupmihfaTuni
by : pi
him : saL
, : ,
and : oxe
by : pi 
him : saL
they : mi
shall : ufanmu
to_boast (fut) : upuehti
. : .
for (conj) : huvupu
thus : difazi
to_say : ubofu
the : da
lord : etme
to : tu
the : da
people : kuunim
of : asu
judah : judah
and : oxe
to : tu
the : da
inhabitants : guLsopetomduT
of : asu
jerusalem : jerusaLem
:
to_break (imp) : upzioqa
up : maoho
your : femaza
fallow (adj) : honmarmo
ground : kizaimtu
, : ,
and : oxe
to_do (imp) : utuTua 
not : mot
to_sow : ufuzavu
among : enamku
the : da
thorns : duvaLim
. : .
to_circumcize (imp) : ujevexonjefaa
yourselves : buuozhanrihuT
to : tu
the : da
lord : etme
. : .
to_remove (imp) : uvaLuzaa
the : da
foreskin : huvafguL
of : asu
your (pl) : femaTza
hearts : fiTamim
, : ,
o : o
people : kuunim
of : asu
judah : judah
and : oxe
inhabitants : guLsopetomduT
of : asu
jerusalem : jerusaLem
, : ,
or : az
else : imfa
my : eLemza
wrath : zazeTa
will : danaLeu
to_go : uLamLu
forth (adv) : huvaTzi
like : qiuL
fire : tine
. : .
and : oxe
to_burn : upivLu
with : qemhe
no : iL
one : eLikam
to_to_quench : tugiLjasu
it : fa
, : ,
because : qufge
of : asu
the : da
evil : vuirum
of : asu
your (pl) : femaTza
doings : TuuLkaT
. : .
to_declare (imp) : uTajmeza
in : uL
judah : judah
, : ,
and : oxe
to_proclaim (imp) : ubzaxmouna
in : uL
jerusalem : jerusaLem
, : ,
and : oxe
to_say (imp) : ubofa
:
to_blow (imp) : upmara
the : da
trumpet : tazonbat
through : dazo
the : da 
land : nomta
and : oxe
to_say (imp) : ubofa
' : qi
to_gather (imp) : ukodava
together (adv) : kuftafhezizi
, : ,
and : oxe
to_let (imp) : unata
us : La
to_go : uLamLu
into : duLtu
the : da
fortified : quhuvdusimo
cities : qoiboLqeT
. : .
' : qu
to_raise (imp) : uvouhia
a : a
standard : fadeLTovta
toward (prep) : tuzovtin
zion : zion
, : ,
to_flee (imp) : uhmiada
for (prep) : huvuin
safety : fohati
, : ,
to_do (imp) : utuTua
not : mot
to_delay : uTanouu
, : ,
for (conj) : huvupu
i : eLe
to_be : uamu
bringing : upzuLkuLka
evil : vuirum
from : hazani
the : da
north : muvTu
, : ,
and : a
great : kaziotmo
destruction : omutisuta
. : .
a : a
lion : neaLa
have : ueLanad
to_go (past) : uLamLo
up : maoho
from : hazani
its : safaza
thicket : deqat
, : ,
a : a
destroyer : oTutisutiz
of : asu
nations : moteuLim
have : ueLanad
to_set (past) : ufato
out : aut
. : .
he : sa
have : ueLanad
to_go (past) : uLamLo
out : aut
from : hazani
his : saLza
place : obamexi
to_to_make : tuLaqau
your (pl) : femaTza
land : nomta
a : a
waste : oruzofdiu
. : .
your (pl) : femaTza
cities : qoiboLqeT
will : danaLeu
to_be (fut) : uami
ruins : vooLuT
without : zeduodzi
inhabitant : guLsopetomdu
. : .
because : qufge
of : asu
this : def
to_put (imp) : ubita
on : aL
sackcloth : fojgujamaTa
, : ,
to_lament (imp) : unoLamda
and : oxe
to_wail (imp) : uzouma
:
' : qi
the : da
fierce : heizjamo
anger : eLkav
of : asu
the : da
lord : etme
have : ueLanad
not : mot
to_turn (past) : utivLo
away : ereizi
from : hazani
us : La
. : .
' : qu 
on : aL
that : idta
day : bauri
, : ,
to_say : ubofu
the : da
lord : etme
, : ,
courage : juozeqi
shall : ufanmu
to_fail (fut) : uhoumi
the : da
king : vacu
and : oxe
the : da
officials : ashejeemim
. : .
the : da
priests : qusamim
shall : ufanmu
to_be (fut) : uami
appalled (adj) : guebabonmaomo
, : ,
and : oxe
the : da
prophets : bisaLeihuT
astounded (adj) : ehtuoLTaTmo
. : .
then : fenmaem
i : eLe
to_say (past) : ubofo
' : qi
ah : ah
, : ,
lord : etme
god : kut
, : ,
how : suo
utterly : odtivmizi
you : fema
have : ueLanad
to_deceive (past) : uTajaurio
this : def
people : kuunim
and : oxe
jerusalem : jerusaLem
, : ,
saying : ubofuLka
' : qiqi
it  : fa
shall : ufanmu
to_to_be : tupa
well (adv) : zanmuzi
with : qemhe
you : fema
' : ququ
, : ,
even : iriL
while (conj) : zafumipu
the : da
sword : fazasa
to_be : uamu
at : ed
the : da
throat : dazaot
. : .
' : qu
at : ed
that : idta
time : ieqo
it : fa
will : danaLeu
to_to_be : tupa
said : cubofuni
to : tu
this : def
people : kuunim
and : oxe
to : tu
jerusalem : jerusaLem
:
a : a
hot (adj) : sutmo
wind : tiomu
to_come : ujuLau
from : hazani
me : eLem
out : aut
of : asu 
the : da
bare (adj) : povamo
heights : sauqaftaT
in : uL
the : da
desert (noun) : oTafavdu
toward (prep) : tuzovtin
my : eLemza
poor (adj) : buazmo
people : kuunim
, : ,
not : mot
to_to_winnow : tuzemLaru
or : az
to_to_cleanse : tujmiomhiu
, : ,
a : a
wind : tiomu
too : duazi
strong : zosroTmo
for (prep) : huvuin
that : idta
. : .
now : mit
it : fa
to_be : uamu
i : eLe
who : qiqo
to_speak : ubisiu 
in : uL
judgement : tianeu
against : egeemhutu
them : miim
. : .
to_look (imp) : unaugoa
he : sa
to_come : ujuLau
up : maoho
like : qiuL
clouds : jamaiTim
, : ,
his : saLza
chariots : joveadim
like : qiuL
the : da
whirlwind : zafuznaruLTa
. : .
his : saLza
horses : suvhiT
to_be : uamu
swifter (adj) : farustizmo
than : dam
eagles : iokmiT
. : .
woe : zui
to : tu
us : La
, : ,
for (conj) : huvupu
we : Lam
to_be :  uamu
ruined (adj) : vooLitmo
. : .
o : o
jerusalem : jerusaLem
, : ,
to_wash (imp) : uzofafa
your : femaza
heart : fiTam
clean (adj) : bistohmo
of : asu
wickedness : bosiomafha
so : fu
that : idta
you : fema
may : Lou
to_to_be : tupa
saved : cufozani
. : .
'? : qqi
how : suo
long (adv) : numqazi
shall : ufanmu
your : femaza
evil (adj) : vuirumamo
schemes : fexasaLaT
to_lodge : unuTqiu
within : zedum
you : fema
'? : qqu
for (conj) : huvupu
a : a
voice : zuuxi
to_declare : uTajmezu
from : hazani
dan : dan
and : oxe
to_proclaim : ubzaxmounu
disaster : Tefofdiz
from : hazani
mountain : ziazu
ephraim : efraim
. : .
to_tell (imp) : uqavdua
the : da
nations : moteuLim
' : qi
here : suvu
they : mi
to_be : uamu
. : .
' : qu
to_proclaim (imp) : ubzaxmouna
against : egeemhutu
jerusalem : jerusaLem
' : qi
besiegers : pafeiqivahim
to_come : ujuLau
from : hazani
a : a
distant : TefdeLtmo
land : nomta
. : .
they : mi
to_shout : ufafaitu
against : egeemhutu
the : da
cities : qoiboLqeT
of : asu
judah : judah
. : .
they : mi
they : mi
have : ueLanad
to_close (past) : ujmahio
in : uL
around (prep) : ezaomtin
her : soL
like : qiuL
watchers : oTuqothauT
of : asu
a : a
field : heimtu
, : ,
because : qufge
they : mi
have : ueLanad
to_rebel (past) : uvapano
against : egeemhutu
me : eLem
, : ,
to_say : ubofu
the : da
lord : etme
. : .
your : femaza
ways : zouT
and : oxe
your : femaza 
doings : TuuLkaT
have : ueLanad
to_bring (past) : upzuLko
this : def
upon : obam
you : fema
. : .
this : def
to_be : uamu
your : femaza
doom (noun) : oTuan
. : .
how : suo
bitter (adj) : petdizmo
it : fa
to_be : uamu
. : .
it : fa
have : ueLanad
reached : kutuvaexsuni
your : femaza
very (adj) : tufemo
heart : fiTam
. : .
' : qu
my : eLemza
anguish : eLkiuhsa
, : ,
my : eLemza
anguish : eLkiuhsa
. : .
i : eLe
to_writhe : uzazuTiu
in : uL
pain : bouL
. : .
oh : af
the : da
walls : zenmaT
of : asu
my : eLemza
heart : fiTam
. : .
my : eLemza
heart : fiTam
to_be : uamu
beating : upaeduLka
wildly (adv) : zentnizi
. : .
it : fa
not : mot
to_be_able : tupaepna
to_keep : uqaibu
silent (adj) : fenamdumo
. : .
for (conj) : huvupu
i : eLe
to_hear : ufnau
the : da
sound : eame
of : asu
the : da
trumpet : tazonbat
, : ,
the : da
alarm : emezLa
of : asu
war : futo
. : .
disaster : Tefofdiz
to_overtake : uariztoqau
disaster : Tefofdiz
. : .
the : da
whole : ququmo
land : nomta
to_be : uamu
laid : cunouni
waste : oruzofdiu
. : .
suddenly : fiTatiLzi
my : eLemza
tents : tamduT
to_be : uamu
destroyed : cutisutuni
, : ,
my : eLemza
curtains : jivdeemim
in : uL
a : a
moment : LuLamda
. : .
'? : qqi
how : suo
long : numqazi
to_must : uLifdu
i : eLe
to_see : uzeTu
the : da
standard : fadeLTovta
and : oxe
to_hear : ufnau
the : da
sound (noun) : eame
of : asu
the : da
trumpet : taznbat
'? : qqu
' : qi
for (conj) : huvupu
my : eLemza
people : kuunim
to_be : uamu
foolish : huanuhsamo
, : ,
they : mi
to_do : utuTuu
not : mot
to_know : uqaLaru
me : eLem. : .
they : mi
to_be : uamu
stupid : fadibutmo
children : jentuuT
. : .
they : mi
to_have : utuseu
no : iL
understanding : opuunLavauLka
. : .
they : mi
to_be : uamu
skilled (adj) : fuqumnamo
in : uL
doing : utuTuuLka
evil : vuirum
, : ,
but : pit
to_do : utuTuu
not : mot
know : uqaLaru
how : suo
to_to_do : tutuTuu
good (noun) : okuat
. : .
' : qu
i : eLe
to_look (past) : unaugoo
on : aL

the : da
earth : iovTa
, : ,
and : oxe
lo : nu
, : ,
it : fa
to_be (past) : uamo
waste (adj) : ruzofdiumo
and : oxe
void (adj) : zuutmo
. : .
and : oxe
to : tu
the : da
heavens : toerehuT
, : ,
and : oxe
they : mi
have : ueLanad
no : iL
light : nekfuta
. : .
i : eLe
to_look (past) : unaugoo
on : aL
the : da
mountains : ziazuT
, : , 
and : oxe
lo : nu
, : ,
they :  mi
to_be (past) : uamo
quaking : ugiegiuLka
, : ,
and : oxe
all : bom
the : da
hills : LaqeT
to_move (past) : uLuzao
to : tu
and : oxe
fro : haza
. : .
i : eLe
to_look (past) : unaugoo
and : oxe
lo : nu
, : ,
there : dava
to_be (past) : uamo
no : iL
one : eLikam
at : ed
all : bom
, : ,
and : oxe
all : bom
birds : pevtuT
of : asu
the : da
air : eeva
have : ueLanad
to_flee (past) : uhmiado
. : .
i : eLe
to_look (past) : unaugoo
and : oxe
lo : nu
, : ,
the : da
fruitful : hazoethinmo
land : nomta
to_be (past) : uamo
a : a
desert (noun) : oTafavdu
, : ,
and : oxe
all : bom
its : safaza
cities : qoiboLqeT
to_be (past) : uamo
laid : cunouni
in : uL
ruins : vooLuT
before (prep) : pahuvin
the : da
lord : etme
, : ,
before (prep) : pahuvin
his : saLza
fierce (adj) : heizjamo
anger : eLkav
. : .
for (conj) : huvupu
thus : difazi
to_say : ubofu
the : da
lord : etme
:
the : da
whole (adj) : ququmo
land : nomta
shall : ufanmu
to_to_be : tupa
a : a
desolation (noun) : oTafunoteaL
. : .
yet : cuatpu
i : eLe
will : danaLeu
not : mot
to_make (fut) : uLaqai
a : a
full (adj) : hinmamo
end : iLTu
. : .
because : qufge
of : asu
this : def
the : da
earth : iovTa
shall : ufanmu
to_mourn (fut) : uLuozmi  
, : ,
and : oxe
the : da
heavens : toerehuT
above : epari
to_grow (fut) : ukzari
black (adj) : pamexeqamo
. : .
for (conj) : huvupu
i : eLe
have : ueLanad
spoken : cubisuni
. : .
i : eLe
have : ueLanad
purposed : kubivbufauni
. : .
i : eLe
have : ueLanad
not : mot
to_relent (past) :  uvanamto
, : ,
nor : muz
will : danaLeu
i : eLe
to_turn (fut) : utivLi
back (adv) : pojguzi
. : .
at : ed
the : da
noise : muuhi
of : asu
horseman : suvhiLaihu
and : oxe
archer : ezjafiz
every : exuqo
town : turLa
to_take : utoqau
to : tu
flight : orupahmu
. : .
they : mi
to_enter : uiLtavu
thickets : deqatim
. : .
they : mi
to_climb : uqamunpu
among : enamku
the : da
rocks : vuqaT
. : .
all : bom
the : da
towns : turLaT
to_be : uamu
forsaken : cuhuvhegnumo
, : ,
and : oxe
no : iL
one : eLikam
to_live : unezu
in : uL
them : miim
. : .
and : oxe
you : fema
, : ,
o : o
desolate (adj) : pafunotamo
one : eLikam
, : ,
'? : qqi
what : Leta
to_do : utuTuu
you : fema
to_mean : uLaeLu
that : idta
you : fema
to_dress : uTzihfu
in : uL
crimson : qazunfum
, : ,
that : idta
you : fema
to_deck : uTajgu
yourself : buuozhanrihu
with : qemhe
ornaments : azmoLamduT
of : asu
gold : qinde
, : ,
that : idta
you : fema
to_enlarge : uiLnovqiu
your : femaza
eyes : fenaneT
with : qemhe
paint (noun) : obouLt
'? : qqu
in : uL
vain (adv) : zouLzi
you : fema
to_beautify : uqooLiifusi
yourself : buuozhanrihu
. : .
your : femaza
lovers : ovoqofdeizim
to_despise : uTafbuhiu
you : fema
. : .
they : mi
to_seek : ufaigu
your : femaza
life : neha
. : .
for (conj) : huvupu
i : eLe
to_hear (past) : ufnao
a : a
cry (noun) : opujzua
as : eh
of : asu
a : a
woman : zuLom
in : uL
labor : punopuviu
, : ,
anguish : eLkiuhsa
as : eh
of : asu
one : eLikam
bringing : upzuLkuLka
forth (adv) : huvaTzi
her's : soLza
first : guLikagni
child : jentuu
, : ,
the : da
cry (noun) : opujzua
of : asu
daughter : titav
zion : zion
gasping : ukofbuLka
for (prep) : huvuin
breath : ocupziodu
, : ,
stretching : ufdavatexuLka
out : aut
her's : soLza
hands : qafeT
. : .
' : qi
woe : zui
to_be : uamu
me : eLem
. : .
i : eLe
to_be : uamu
fainting : uhouLtuLka
before (prep) : pahuvin
killers : ocutobabounim
. : .
' : qu
__: bobo
#---------------------jeremiah ch 5 
to_run (imp) : uvima
to : tu
and : oxe
fro : haza
through : dazo
the : da
streets : fadvaidim
of : asu
jerusalem : jerusaLem
. : .
to_look (imp) : unaugoa
around (prep) : ezaomtin
and : oxe
to_take (imp) : utoqaa
note (noun) : omuta
. : .
to_search (imp) : ufaezja
its : safaza
squares : fagoovim
and : oxe
to_see (imp) : uzeTa
if : fux
you : fema
to_be_able : tupaepna
to_find : unoudeu
